Title,Year,Rating,Genre,Runtime,Director
Kôkaku Kidôtai,1995,8,"Animation, Action, Crime",83 min,Mamoru Oshii
Akira,1988,8,"Animation, Action, Sci-Fi",124 min,Katsuhiro Ôtomo
The Terminator,1984,8,"Action, Sci-Fi",107 min,James Cameron
Per un pugno di dollari,1964,8,"Action, Drama, Western",99 min,Sergio Leone
Rio Bravo,1959,8,"Action, Drama, Western",141 min,Howard Hawks
Thor: Ragnarok,2017,7.9,"Action, Adventure, Comedy",130 min,Taika Waititi
Star Wars: Episode VII - The Force Awakens,2015,7.9,"Action, Adventure, Sci-Fi",138 min,J.J. Abrams
X-Men: Days of Future Past,2014,7.9,"Action, Adventure, Sci-Fi",132 min,Bryan Singer
Edge of Tomorrow,2014,7.9,"Action, Adventure, Sci-Fi",113 min,Doug Liman
District 9,2009,7.9,"Action, Sci-Fi, Thriller",112 min,Neill Blomkamp
Star Trek,2009,7.9,"Action, Adventure, Sci-Fi",127 min,J.J. Abrams
Letters from Iwo Jima,2006,7.9,"Action, Adventure, Drama",141 min,Clint Eastwood
Iron Man,2008,7.9,"Action, Adventure, Sci-Fi",126 min,Jon Favreau
Ying xiong,2002,7.9,"Action, Adventure, History",120 min,Yimou Zhang
Cowboy Bebop: Tengoku no tobira,2001,7.9,"Animation, Action, Crime",115 min,Shin'ichirô Watanabe
The Bourne Identity,2002,7.9,"Action, Mystery, Thriller",119 min,Doug Liman
Jûbê ninpûchô,1993,7.9,"Animation, Action, Adventure",94 min,Yoshiaki Kawajiri
The Blues Brothers,1980,7.9,"Action, Adventure, Comedy",133 min,John Landis
Dawn of the Dead,1978,7.9,"Action, Adventure, Horror",127 min,George A. Romero
"Aguirre, der Zorn Gottes",1972,7.9,"Action, Adventure, Biography",95 min,Werner Herzog
The Wild Bunch,1969,7.9,"Action, Adventure, Western",145 min,Sam Peckinpah
The Adventures of Robin Hood,1938,7.9,"Action, Adventure, Romance",102 min,Michael Curtiz
The Gentlemen,2019,7.8,"Action, Comedy, Crime",113 min,Guy Ritchie
Raazi,2018,7.8,"Action, Drama, Thriller",138 min,Meghna Gulzar
Dunkirk,2017,7.8,"Action, Drama, History",106 min,Christopher Nolan
Udta Punjab,2016,7.8,"Action, Crime, Drama",148 min,Abhishek Chaubey
Kubo and the Two Strings,2016,7.8,"Animation, Action, Adventure",101 min,Travis Knight
Rogue One,2016,7.8,"Action, Adventure, Sci-Fi",133 min,Gareth Edwards
Captain America: Civil War,2016,7.8,"Action, Adventure, Sci-Fi",147 min,Anthony Russo
Big Hero 6,2014,7.8,"Animation, Action, Adventure",102 min,Don Hall
How to Train Your Dragon 2,2014,7.8,"Animation, Action, Adventure",102 min,Dean DeBlois
Ang-ma-reul bo-at-da,2010,7.8,"Action, Crime, Drama",144 min,Jee-woon Kim
Ajeossi,2010,7.8,"Action, Crime, Drama",119 min,Jeong-beom Lee
Chugyeokja,2008,7.8,"Action, Crime, Thriller",125 min,Hong-jin Na
Taken,2008,7.8,"Action, Thriller",90 min,Pierre Morel
Avatar,2009,7.8,"Action, Adventure, Fantasy",162 min,James Cameron
Apocalypto,2006,7.8,"Action, Adventure, Drama",139 min,Mel Gibson
Hot Fuzz,2007,7.8,"Action, Comedy, Mystery",121 min,Edgar Wright
Serenity,2005,7.8,"Action, Adventure, Sci-Fi",119 min,Joss Whedon
Gongdong gyeongbi guyeok JSA,2000,7.8,"Action, Drama, Thriller",110 min,Chan-wook Park
The Count of Monte Cristo,2002,7.8,"Action, Adventure, Drama",131 min,Kevin Reynolds
Wo hu cang long,2000,7.8,"Action, Adventure, Fantasy",120 min,Ang Lee
The Boondock Saints,1999,7.8,"Action, Crime, Thriller",108 min,Troy Duffy
The Game,1997,7.8,"Action, Drama, Mystery",129 min,David Fincher
